User.Type,Users,New.Users,Sessions,Bounce.Rate,Pages...Session,Avg..Session.Duration,Transactions,Revenue,Ecommerce.Conversion.Rate
New Visitor,11301,11344,11344,46.82,4.01,0:02:25,214,$3,1413.71,1.89
Returning Visitor,2984,0,4280,39.70,5.25,0:03:40,265,$47,653.31,6.19
